id;reported_absolute_count;reported_for;recorded_at;user_id
24780;0;2022-05-17;2022-05-17 07:49:30.059785;5504
26459;1782;2022-05-17;2022-05-17 12:30:03.708272;5504
26460;1782;2022-05-17;2022-05-17 12:30:23.450055;5504
24783;0;2022-05-17;2022-05-17 08:16:21.182104;5504
27273;0;2022-05-18;2022-05-18 07:00:44.108122;5504
27274;0;2022-05-18;2022-05-18 07:01:00.335933;5504
29647;0;2022-05-19;2022-05-19 09:30:01.550631;5504
29858;0;2022-05-19;2022-05-19 11:30:07.953913;5504
29883;0;2022-05-19;2022-05-19 12:08:12.275928;5504
29884;0;2022-05-19;2022-05-19 12:10:06.038293;5504
29885;0;2022-05-19;2022-05-19 12:10:29.335895;5504
29894;0;2022-05-19;2022-05-19 12:20:58.512468;5504
29895;0;2022-05-19;2022-05-19 12:21:14.234945;5504
29898;0;2022-05-19;2022-05-19 12:23:13.816895;5504
24796;0;2022-05-17;2022-05-17 08:46:21.278094;5504
29605;0;2022-05-19;2022-05-19 08:30:20.24274;5504
29650;0;2022-05-19;2022-05-19 09:30:22.598623;5504
29796;0;2022-05-19;2022-05-19 11:00:07.762016;5504
29875;0;2022-05-19;2022-05-19 12:00:08.040481;5504
29886;0;2022-05-19;2022-05-19 12:11:12.09176;5504
30013;0;2022-05-19;2022-05-19 12:31:47.429;5504
30014;0;2022-05-19;2022-05-19 12:32:43.807469;5504
30029;0;2022-05-19;2022-05-19 12:57:16.447649;5504
30111;0;2022-05-19;2022-05-19 15:16:11.97005;5504
26466;1807;2022-05-17;2022-05-17 13:30:03.611323;5504
26467;1807;2022-05-17;2022-05-17 13:30:18.446444;5504
26468;1807;2022-05-17;2022-05-17 13:30:33.918051;5504
26469;1807;2022-05-17;2022-05-17 13:30:46.376951;5504
26470;1807;2022-05-17;2022-05-17 13:31:10.625586;5504
29601;0;2022-05-19;2022-05-19 08:30:06.898171;5504
29616;0;2022-05-19;2022-05-19 08:38:03.175496;5504
29782;0;2022-05-19;2022-05-19 10:30:07.551709;5504
29783;0;2022-05-19;2022-05-19 10:30:07.620486;5504
29784;0;2022-05-19;2022-05-19 10:30:20.632595;5504
29786;0;2022-05-19;2022-05-19 10:34:07.159584;5504
29787;0;2022-05-19;2022-05-19 10:34:32.45008;5504
29879;0;2022-05-19;2022-05-19 12:06:49.010568;5504
29887;0;2022-05-19;2022-05-19 12:15:05.676538;5504
29888;0;2022-05-19;2022-05-19 12:15:11.061079;5504
26051;0;2022-05-17;2022-05-17 09:16:21.494401;5504
26471;1807;2022-05-17;2022-05-17 13:31:27.097147;5504
26472;1807;2022-05-17;2022-05-17 13:31:50.975808;5504
12809;0;2022-05-07;2022-05-07 15:40:06.778432;5504
12730;0;2022-05-07;2022-05-07 15:40:26.999632;5504
12731;0;2022-05-07;2022-05-07 15:40:34.674069;5504
12732;0;2022-05-07;2022-05-07 15:40:59.985962;5504
12733;0;2022-05-07;2022-05-07 15:41:14.731101;5504
12810;0;2022-05-07;2022-05-07 15:48:22.798261;5504
12735;0;2022-05-07;2022-05-07 15:48:35.61285;5504
12811;0;2022-05-07;2022-05-07 15:48:42.139052;5504
12812;0;2022-05-07;2022-05-07 15:48:49.049872;5504
12813;0;2022-05-07;2022-05-07 15:49:04.062044;5504
12814;0;2022-05-07;2022-05-07 15:49:26.401014;5504
12736;0;2022-05-07;2022-05-07 15:49:48.518732;5504
12737;0;2022-05-07;2022-05-07 15:50:06.163096;5504
12738;0;2022-05-07;2022-05-07 15:50:25.712035;5504
12739;0;2022-05-07;2022-05-07 15:50:47.033606;5504
12740;0;2022-05-07;2022-05-07 15:52:09.839566;5504
12815;0;2022-05-07;2022-05-07 15:52:41.809064;5504
12816;0;2022-05-07;2022-05-07 15:53:00.24668;5504
12741;0;2022-05-07;2022-05-07 15:53:28.419431;5504
12742;0;2022-05-07;2022-05-07 15:54:04.714749;5504
12743;0;2022-05-07;2022-05-07 15:54:28.955229;5504
12817;0;2022-05-07;2022-05-07 15:54:44.029975;5504
12818;0;2022-05-07;2022-05-07 15:54:46.978677;5504
13715;0;2022-05-08;2022-05-08 10:10:10.997019;5504
12839;0;2022-05-08;2022-05-08 10:10:34.494721;5504
13719;0;2022-05-08;2022-05-08 10:47:09.258955;5504
12845;0;2022-05-08;2022-05-08 10:47:26.892375;5504
12850;0;2022-05-08;2022-05-08 11:25:57.262326;5504
13723;0;2022-05-08;2022-05-08 11:26:25.586475;5504
14056;0;2022-05-08;2022-05-08 18:45:46.419264;5504
14058;0;2022-05-08;2022-05-08 19:21:06.561884;5504
14060;0;2022-05-08;2022-05-08 19:48:39.874055;5504
14062;0;2022-05-08;2022-05-08 20:35:41.849061;5504
14064;0;2022-05-08;2022-05-08 21:34:11.916005;5504
13940;0;2022-05-08;2022-05-08 22:25:32.087711;5504
14068;0;2022-05-08;2022-05-08 23:00:16.165588;5504
13942;0;2022-05-08;2022-05-08 23:43:59.718668;5504
13944;0;2022-05-09;2022-05-09 00:15:22.165365;5504
14070;0;2022-05-09;2022-05-09 00:50:13.462176;5504
13946;0;2022-05-09;2022-05-09 01:35:45.963554;5504
13948;0;2022-05-09;2022-05-09 02:06:04.807387;5504
14073;0;2022-05-09;2022-05-09 02:55:45.949295;5504
14075;0;2022-05-09;2022-05-09 03:42:49.477777;5504
14077;0;2022-05-09;2022-05-09 04:17:00.144293;5504
14078;0;2022-05-09;2022-05-09 04:59:59.975605;5504
14081;0;2022-05-09;2022-05-09 05:33:48.020766;5504
26052;0;2022-05-17;2022-05-17 09:21:30.188821;5504
14753;0;2022-05-09;2022-05-09 06:03:51.169612;5504
14755;0;2022-05-09;2022-05-09 06:36:38.127466;5504
14088;0;2022-05-09;2022-05-09 07:08:50.774427;5504
14760;0;2022-05-09;2022-05-09 07:30:03.143396;5504
14761;0;2022-05-09;2022-05-09 07:30:29.627428;5504
26473;1807;2022-05-17;2022-05-17 13:31:57.859145;5504
26474;1807;2022-05-17;2022-05-17 13:32:06.341415;5504
14090;0;2022-05-09;2022-05-09 07:41:19.609756;5504
14765;0;2022-05-09;2022-05-09 08:17:34.181491;5504
14092;0;2022-05-09;2022-05-09 08:58:36.014382;5504
14768;0;2022-05-09;2022-05-09 09:00:01.986395;5504
14769;0;2022-05-09;2022-05-09 09:00:18.590535;5504
14770;0;2022-05-09;2022-05-09 09:33:18.03999;5504
14095;0;2022-05-09;2022-05-09 10:04:14.095485;5504
14773;0;2022-05-09;2022-05-09 10:06:59.171416;5504
14096;0;2022-05-09;2022-05-09 10:07:51.968493;5504
14774;0;2022-05-09;2022-05-09 10:08:02.30105;5504
14775;0;2022-05-09;2022-05-09 10:08:16.08667;5504
14097;0;2022-05-09;2022-05-09 10:12:50.881998;5504
14776;0;2022-05-09;2022-05-09 10:13:06.479823;5504
14777;0;2022-05-09;2022-05-09 10:30:09.141265;5504
14778;0;2022-05-09;2022-05-09 10:30:16.81101;5504
27285;0;2022-05-18;2022-05-18 07:30:07.182971;5504
14785;0;2022-05-09;2022-05-09 12:00:00.943496;5504
14787;0;2022-05-09;2022-05-09 12:00:22.286876;5504
14794;0;2022-05-09;2022-05-09 13:30:02.929259;5504
14795;0;2022-05-09;2022-05-09 13:30:24.183341;5504
14952;0;2022-05-09;2022-05-09 14:53:05.655024;5504
14954;0;2022-05-09;2022-05-09 15:08:39.748788;5504
14955;0;2022-05-09;2022-05-09 15:08:46.609735;5504
14962;0;2022-05-09;2022-05-09 16:30:27.201954;5504
